"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
7.506228970E-1	1.771509275E-2	3.329215571E-2	3.145955876E-2
7.606228970E-1	1.664607786E-2	2.474004216E-2	3.878994286E-2
7.706228970E-1	9.468411095E-3	2.596177347E-2	6.215553731E-2
7.806228970E-1	-4.886921961E-3	1.878410578E-2	9.514226019E-2
7.906228970E-1	-1.786780916E-2	2.901609987E-3	1.539380401E-1
8.006228970E-1	-1.970040426E-2	1.145372353E-2	2.150245607E-1
8.106228970E-1	-1.985311974E-3	2.840523422E-2	2.904664278E-1
8.206228970E-1	4.505131021E-2	1.000291854E-1	3.755294085E-1
8.306228970E-1	9.911288321E-2	8.261952549E-2	4.543310404E-1
8.406228970E-1	1.171334088E-1	6.673702598E-2	4.382958114E-1
8.506228970E-1	8.399397135E-2	-1.985312104E-1	4.862487316E-1
8.606228970E-1	6.734789163E-2	-5.784893632E-1	6.803511381E-1
8.706228970E-1	6.123924255E-2	-6.418666840E-1	1.002735257E0
8.806228970E-1	7.192938030E-2	-3.010038435E-1	9.952521920E-1
8.906228970E-1	9.941831976E-2	-2.913827300E-1	9.193521738E-1
9.006228970E-1	1.672243625E-1	-3.245221674E-1	9.016370773E-1
9.106228970E-1	2.716823220E-1	-3.237585723E-1	8.848382831E-1
9.206228970E-1	3.872885704E-1	-2.304489166E-1	8.629998565E-1
9.306228970E-1	5.884159207E-1	5.131268129E-2	8.232936263E-1
9.406228970E-1	8.625417352E-1	3.776674271E-1	7.767151594E-1
9.506228970E-1	1.160643935E0	5.505422950E-1	7.385360599E-1
9.606228970E-1	1.389260292E0	6.323982477E-1	7.047857642E-1
9.706228970E-1	1.516778350E0	6.440047026E-1	6.693555713E-1
9.806228970E-1	1.555262923E0	5.610797405E-1	6.446155310E-1
9.906228970E-1	1.553277612E0	3.833179474E-1	6.165157557E-1
1.000622897E0	1.531744599E0	2.008219510E-1	5.752823353E-1
1.010622897E0	1.517542005E0	9.132435173E-2	5.241223574E-1
1.020622897E0	1.542587519E0	5.222897977E-2	4.653266072E-1
1.030622897E0	1.606422901E0	1.679879427E-2	4.121813178E-1
1.040622897E0	1.685071826E0	-1.160643995E-2	3.674354553E-1
1.050622897E0	1.801288843E0	-1.572977938E-2	3.103195429E-1
1.060622897E0	1.920102239E0	1.557706390E-2	2.469422817E-1
1.070622897E0	2.042580605E0	5.772676691E-2	1.884519309E-1
1.080622897E0	2.163837433E0	9.621127695E-2	1.311833113E-1
1.090622897E0	2.282650709E0	1.175915599E-1	7.269296050E-2
1.100622897E0	2.370920658E0	1.197295859E-1	2.794708498E-2
1.110622897E0	2.466521025E0	1.023199260E-1	-2.916881628E-2
1.120622897E0	2.551126003E0	6.414084882E-2	-8.613199741E-2
1.130622897E0	2.616183043E0	6.719517522E-3	-1.464549452E-1
1.140622897E0	2.667801142E0	-4.581489414E-2	-2.079996169E-1
1.150622897E0	2.702467918E0	-8.002334833E-2	-2.693915665E-1
1.160622897E0	2.705674887E0	-9.101892263E-2	-3.158173263E-1
1.170622897E0	2.685821772E0	-6.780604273E-2	-3.704897761E-1
1.180622897E0	2.640617847E0	-2.367102914E-2	-4.262312353E-1
1.190622897E0	2.591595888E0	3.359758761E-3	-4.783074856E-1
1.200622897E0	2.547460794E0	2.306016348E-2	-5.242751241E-1
1.210622897E0	2.503478527E0	5.115996301E-2	-5.616905689E-1
1.220622897E0	2.474156857E0	7.330382615E-2	-5.894849896E-1
1.230622897E0	2.435214281E0	1.160643995E-1	-6.134614348E-1
1.240622897E0	2.390162945E0	1.637118906E-1	-6.362161636E-1
1.250622897E0	2.348776817E0	2.076941878E-1	-6.517932415E-1
1.260622897E0	2.302656651E0	2.554943860E-1	-6.586654782E-1
1.270622897E0	2.261423111E0	2.848159075E-1	-6.545420885E-1
1.280622897E0	2.220189810E0	3.094032407E-1	-6.517932415E-1
1.290622897E0	2.161852121E0	3.254384696E-1	-6.426302195E-1
1.300622897E0	2.100154638E0	3.561344445E-1	-6.262896061E-1
1.310622897E0	2.029905319E0	3.782783151E-1	-6.023131609E-1
1.320622897E0	1.957059503E0	3.798054755E-1	-5.772676468E-1
1.330622897E0	1.886810064E0	3.837760985E-1	-5.510004759E-1
1.340622897E0	1.826181650E0	3.900374472E-1	-5.271766782E-1
1.350622897E0	1.747380018E0	3.903428912E-1	-4.935791194E-1
1.360622897E0	1.666287661E0	3.785837293E-1	-4.573853612E-1
1.370622897E0	1.572825313E0	3.594942093E-1	-4.236350358E-1
1.380622897E0	1.479362965E0	3.475823104E-1	-3.897320330E-1
1.390622897E0	1.384831548E0	3.321579695E-1	-3.572034538E-1
1.400622897E0	1.311985850E0	3.239113092E-1	-3.307835162E-1
1.410622897E0	1.218523502E0	2.974913716E-1	-2.958115041E-1
1.420622897E0	1.125061035E0	2.577851415E-1	-2.631302178E-1
1.430622897E0	1.024268270E0	2.154827118E-1	-2.316706479E-1
1.440622897E0	9.246972799E-1	1.841758788E-1	-2.026545405E-1
1.450622897E0	8.226827979E-1	1.481348276E-1	-1.748601794E-1
1.460622897E0	7.388415337E-1	1.217148975E-1	-1.545489132E-1
1.470622897E0	6.356052756E-1	8.552113175E-2	-1.291979998E-1
1.480622897E0	5.287038684E-1	5.192354694E-2	-1.062905490E-1
1.490622897E0	4.218024611E-1	2.306016348E-2	-8.338310570E-2
1.500622897E0	3.112358451E-1	-1.985311974E-3	-6.032294407E-2
1.510622897E0	2.018909603E-1	-2.718350291E-2	-4.092797264E-2
1.520622897E0	1.131627858E-1	-4.138612002E-2	-2.550362423E-2
1.530622897E0	-1.069014193E-3	-5.910121277E-2	-4.886921961E-3
1.540622897E0	-1.128573567E-1	-7.330382615E-2	1.328631863E-2
1.550622897E0	-2.293798923E-1	-9.117163718E-2	3.145955876E-2
1.560622897E0	-3.399465084E-1	-1.149953827E-1	4.948008433E-2
1.570622897E0	-4.408919811E-1	-1.487456858E-1	6.872233748E-2
1.580622897E0	-5.271766782E-1	-1.835650057E-1	8.414668590E-2
1.590622897E0	-6.317873597E-1	-2.197587788E-1	1.035416573E-1
1.600622897E0	-7.350236177E-1	-2.521346211E-1	1.191187203E-1
1.610622897E0	-8.359690905E-1	-2.858849466E-1	1.359175146E-1
1.620622897E0	-9.392052889E-1	-3.158173263E-1	1.514945775E-1
1.630622897E0	-1.042594314E0	-3.275764883E-1	1.670716405E-1
1.640622897E0	-1.122770309E0	-3.321579695E-1	1.763873398E-1
1.650622897E0	-1.226006508E0	-3.378084898E-1	1.882992089E-1
1.660622897E0	-1.326799273E0	-3.459024429E-1	2.014328092E-1
1.670622897E0	-1.424079657E0	-3.541491330E-1	2.145664245E-1
1.680622897E0	-1.515098572E0	-3.622430861E-1	2.301434875E-1
1.690622897E0	-1.598939776E0	-3.631593883E-1	2.467895597E-1
1.700622897E0	-1.663386106E0	-3.701843321E-1	2.559525371E-1
1.710622897E0	-1.739896894E0	-3.686571717E-1	2.687807083E-1
1.720622897E0	-1.815186024E0	-3.659082949E-1	2.805398703E-1
1.730622897E0	-1.889253497E0	-3.607159257E-1	2.945897579E-1
1.740622897E0	-1.962099195E0	-3.555235863E-1	3.051272035E-1
1.750622897E0	-2.028836250E0	-3.466660380E-1	3.118467033E-1
1.760622897E0	-2.083508730E0	-3.391829133E-1	3.171917796E-1
1.770622897E0	-2.147954941E0	-3.316998184E-1	3.214678466E-1
1.780622897E0	-2.203849077E0	-3.326161206E-1	3.243694305E-1
1.790622897E0	-2.259743214E0	-3.312416673E-1	3.249803185E-1
1.800622897E0	-2.310750484E0	-3.309362531E-1	3.242167234E-1
1.810622897E0	-2.358245373E0	-3.307835162E-1	3.222314119E-1
1.820622897E0	-2.404518366E0	-3.245221674E-1	3.141374588E-1
1.830622897E0	-2.437352419E0	-3.170390725E-1	3.058907688E-1
1.840622897E0	-2.477669477E0	-3.144428730E-1	2.915354371E-1
1.850622897E0	-2.508212805E0	-3.057380617E-1	2.735149264E-1
1.860622897E0	-2.536159754E0	-2.886338234E-1	2.554943860E-1
1.870622897E0	-2.555707455E0	-2.666426897E-1	2.336559594E-1
1.880622897E0	-2.555860281E0	-2.544253767E-1	2.105957866E-1
1.890622897E0	-2.540283203E0	-2.483167201E-1	1.872301996E-1
1.900622897E0	-2.503936529E0	-2.339613885E-1	1.600466967E-1
1.910622897E0	-2.456747293E0	-2.121229619E-1	1.290452778E-1
1.920622897E0	-2.414444923E0	-2.134974003E-1	9.575312585E-2
1.930622897E0	-2.368477345E0	-2.185370475E-1	6.108652428E-2
1.940622897E0	-2.315331936E0	-2.296853364E-1	2.764165215E-2
1.950622897E0	-2.258368731E0	-2.153300047E-1	-3.359758761E-3
1.960622897E0	-2.173458576E0	-2.035708427E-1	-4.199698567E-2
1.970622897E0	-2.082745075E0	-2.197587788E-1	-7.834346592E-2
1.980622897E0	-2.002721786E0	-2.273945808E-1	-1.143845171E-1
1.990622897E0	-1.936137438E0	-2.189951837E-1	-1.528690308E-1
2.000622897E0	-1.869553089E0	-2.241875380E-1	-1.876883507E-1
2.010622897E0	-1.811368227E0	-2.365575731E-1	-2.150245607E-1
2.020622897E0	-1.732719302E0	-2.527455091E-1	-2.475531399E-1
2.030622897E0	-1.649030685E0	-2.567161322E-1	-2.751947939E-1
2.040622897E0	-1.561676979E0	-2.631302178E-1	-3.040581644E-1
2.050622897E0	-1.469589114E0	-2.744311988E-1	-3.292563558E-1
2.060622897E0	-1.384678841E0	-2.881756723E-1	-3.532328308E-1
2.070622897E0	-1.315498352E0	-2.970332205E-1	-3.686571717E-1
2.080622897E0	-1.233031511E0	-3.034473062E-1	-3.889684379E-1
2.090622897E0	-1.152855396E0	-3.123048544E-1	-4.079052806E-1
